vi,ji,e,v,k_R,k_Rerr,k_Q,k_Qerr,P0
0.0,0,30000.0,7.0,4.216926616635605e-13,2.6316292902237165e-13,5.91805567672898e-13,3.517467122623266e-13,25.783073963181685
0.0,0,30000.0,8.0,3.126571992459276e-13,2.2886323675719297e-13,4.897796264821469e-13,3.6497583377279817e-13,25.783073963181685
0.0,0,30000.0,9.0,2.3653195665081886e-13,1.8076779874063131e-13,3.577204480342418e-13,3.2732239836164135e-13,25.783073963181685
0.0,0,30000.0,10.0,6.772793054053308e-14,6.17299817891167e-14,3.1590898204893316e-13,2.561550933044403e-13,25.783073963181685
0.0,0,30000.0,11.0,1.7945030014759462e-14,1.7943002691113923e-14,1.985231953608966e-13,1.9850159268123438e-13,25.783073963181685
0.0,0,30000.0,12.0,6.26331671673062e-15,6.262625210604669e-15,1.190634106629156e-13,1.1905011285587981e-13,25.783073963181685
0.0,0,30000.0,13.0,0.0,0.0,0.0,0.0,25.783073963181685
0.0,0,30000.0,14.0,0.0,0.0,0.0,0.0,25.783073963181685
0.0,0,30000.0,16.0,0.0,0.0,0.0,0.0,25.783073963181685
0.0,0,30000.0,17.0,0.0,0.0,0.0,0.0,25.783073963181685
0.0,0,40000.0,0.0,2.0944976389097214e-11,2.5695012030916443e-12,2.5793671991862262e-09,2.529192769455985e-11,29.771729386357958
0.0,0,40000.0,1.0,1.8110687770038748e-11,2.21624404945992e-12,9.28954302080763e-10,2.451094293308435e-11,29.771729386357958
0.0,0,40000.0,2.0,1.5405357051755243e-11,2.038755543389849e-12,4.698174532926719e-10,1.5584592605229556e-11,29.771729386357958
0.0,0,40000.0,3.0,1.0718901438877673e-11,1.5700730098947711e-12,2.84319002444382e-10,1.132186076580699e-11,29.771729386357958
0.0,0,40000.0,4.0,9.034870389651879e-12,1.3881985050114978e-12,1.823813729696742e-10,8.314277411128653e-12,29.771729386357958
0.0,0,40000.0,5.0,8.699738477624642e-12,1.215964183492762e-12,1.1665090340463976e-10,6.179664520646852e-12,29.771729386357958
0.0,0,40000.0,6.0,4.4842291277629655e-12,6.835775968215318e-13,7.007131714070992e-11,4.450612177234996e-12,29.771729386357958
0.0,0,40000.0,7.0,5.646462715820399e-13,2.444670664524711e-13,3.56074400814376e-11,2.9456212303668896e-12,29.771729386357958
0.0,0,40000.0,8.0,1.849438887882683e-14,1.8492524055138823e-14,1.4434676426058219e-11,1.705648438139527e-12,29.771729386357958
0.0,0,40000.0,9.0,3.696433060621177e-14,3.077897550810054e-14,2.055021372124352e-12,6.80816780674761e-13,29.771729386357958
0.0,0,40000.0,10.0,1.1874882319823335e-14,1.1873686400356098e-14,1.1874882319823335e-14,1.1873686400356098e-14,29.771729386357958
0.0,0,40000.0,11.0,2.374976463964667e-14,1.6790236886854805e-14,2.37928937521884e-14,2.3790493218080274e-14,29.771729386357958
0.0,0,40000.0,17.0,0.0,0.0,0.0,0.0,29.771729386357958
1.0,0,300.0,0.0,0.0,0.0,2.2678961799861773e-09,9.099485737179933e-12,2.5783073963181686
1.0,0,300.0,1.0,0.0,0.0,1.0165266193501976e-09,1.0240245919830227e-11,2.5783073963181686
1.0,0,300.0,2.0,0.0,0.0,1.7396252348894873e-12,5.767344732593775e-13,2.5783073963181686
1.0,0,300.0,3.0,0.0,0.0,1.622386757798872e-12,5.566379376463899e-13,2.5783073963181686
1.0,0,300.0,4.0,0.0,0.0,7.534623124696695e-13,3.757288230993535e-13,2.5783073963181686
1.0,0,300.0,5.0,0.0,0.0,3.6481840569617405e-13,2.519743617184328e-13,2.5783073963181686
1.0,0,300.0,6.0,0.0,0.0,2.0995852596121911e-13,1.6650304582443803e-13,2.5783073963181686
1.0,0,300.0,7.0,0.0,0.0,2.6214536291193867e-13,2.0020389217074247e-13,2.5783073963181686
1.0,0,300.0,8.0,0.0,0.0,1.9614485094963528e-13,1.9613778500883456e-13,2.5783073963181686
1.0,0,300.0,9.0,0.0,0.0,0.0,0.0,2.5783073963181686
1.0,0,300.0,10.0,0.0,0.0,0.0,0.0,2.5783073963181686
1.0,0,600.0,0.0,0.0,0.0,3.2140150897401196e-09,1.6686834295160778e-11,3.6462772878400167
1.0,0,600.0,1.0,0.0,0.0,1.4180842095274353e-09,1.8683384074019157e-11,3.6462772878400167
1.0,0,600.0,2.0,0.0,0.0,8.692872207453214e-12,2.0026453360906853e-12,3.6462772878400167
1.0,0,600.0,3.0,0.0,0.0,5.188739280843126e-12,1.542076227390893e-12,3.6462772878400167
1.0,0,600.0,4.0,0.0,0.0,3.76919419470449e-12,1.3075356759046775e-12,3.6462772878400167
1.0,0,600.0,5.0,0.0,0.0,2.3980406101606978e-12,1.0229404821116398e-12,3.6462772878400167
1.0,0,600.0,6.0,0.0,0.0,1.2324736011629594e-12,7.244604778310485e-13,3.6462772878400167
1.0,0,600.0,7.0,0.0,0.0,8.143295264842158e-13,5.808731671473649e-13,3.6462772878400167
1.0,0,600.0,8.0,0.0,0.0,3.902498939342777e-13,3.0456835545885914e-13,3.6462772878400167
1.0,0,600.0,9.0,0.0,0.0,0.0,0.0,3.6462772878400167
1.0,0,600.0,10.0,0.0,0.0,0.0,0.0,3.6462772878400167
1.0,0,1500.0,0.0,0.0,0.0,4.080177001811848e-09,2.521307019486758e-11,5.765270605057916
1.0,0,1500.0,1.0,0.0,0.0,1.9157723652622874e-09,2.8031506004378237e-11,5.765270605057916
1.0,0,1500.0,2.0,0.0,0.0,1.2395729983349298e-11,2.8168296564046967e-12,5.765270605057916
1.0,0,1500.0,3.0,0.0,0.0,7.418656905922787e-12,2.2064701224727197e-12,5.765270605057916
1.0,0,1500.0,4.0,0.0,0.0,5.421400714788976e-12,1.8599890623428453e-12,5.765270605057916
1.0,0,1500.0,5.0,0.0,0.0,3.4233614307870603e-12,1.3411302706446307e-12,5.765270605057916
1.0,0,1500.0,6.0,0.0,0.0,2.0123202613008424e-12,1.0146952038091013e-12,5.765270605057916
1.0,0,1500.0,7.0,0.0,0.0,8.757384526824788e-13,5.101049179105882e-13,5.765270605057916
1.0,0,1500.0,8.0,0.0,0.0,4.2843697279958326e-13,2.7915219379071545e-13,5.765270605057916
1.0,0,1500.0,9.0,0.0,0.0,1.9097053116716705e-13,1.9095879531791104e-13,5.765270605057916
1.0,0,1500.0,10.0,0.0,0.0,0.0,0.0,5.765270605057916
1.0,0,1500.0,11.0,0.0,0.0,0.0,0.0,5.765270605057916
1.0,0,3000.0,0.0,0.0,0.0,3.9621975304950814e-09,3.749973162153384e-11,8.153323880423844
1.0,0,3000.0,1.0,0.0,0.0,2.073356588233425e-09,4.0331899221726134e-11,8.153323880423844
1.0,0,3000.0,2.0,0.0,0.0,2.4494381023872885e-11,5.625414999595151e-12,8.153323880423844
1.0,0,3000.0,3.0,0.0,0.0,1.0584832672557639e-11,3.5650813417952795e-12,8.153323880423844
1.0,0,3000.0,4.0,0.0,0.0,6.253477700866618e-12,2.758057213310004e-12,8.153323880423844
1.0,0,3000.0,5.0,0.0,0.0,3.7354999082182994e-12,1.7367843069498494e-12,8.153323880423844
1.0,0,3000.0,6.0,0.0,0.0,2.081208902954885e-12,1.1671224859647502e-12,8.153323880423844
1.0,0,3000.0,7.0,0.0,0.0,6.176487682361597e-13,3.8072719793988193e-13,8.153323880423844
1.0,0,3000.0,8.0,0.0,0.0,3.43703650514813e-13,3.050543401806751e-13,8.153323880423844
1.0,0,3000.0,9.0,0.0,0.0,3.3766281101508716e-13,2.3490395306155993e-13,8.153323880423844
1.0,0,3000.0,13.0,0.0,0.0,0.0,0.0,8.153323880423844
1.0,0,6000.0,0.0,0.0,0.0,3.6716152903609217e-09,4.656099860583077e-11,11.530541210115832
1.0,0,6000.0,1.0,9.569068017249116e-14,9.567862941312274e-14,3.561763220134221e-09,4.898259195119889e-11,11.530541210115832
1.0,0,6000.0,2.0,4.663291245449869e-14,4.2456350202827464e-14,1.9058818471067214e-10,1.4526209202665722e-11,11.530541210115832
1.0,0,6000.0,3.0,4.0932859835341686e-14,4.092757647167523e-14,1.557352664839661e-11,4.605259487135644e-12,11.530541210115832
1.0,0,6000.0,4.0,2.363834519286167e-14,2.3635408570054774e-14,7.48066557251552e-12,2.8209371946380904e-12,11.530541210115832
1.0,0,6000.0,5.0,0.0,0.0,3.800719730945447e-12,1.6416188850490222e-12,11.530541210115832
1.0,0,6000.0,6.0,8.111209606763391e-14,8.110172298100482e-14,2.965333071625793e-12,1.3423405991760244e-12,11.530541210115832
1.0,0,6000.0,7.0,0.0,0.0,1.5541061074951933e-12,8.76718848426903e-13,11.530541210115832
1.0,0,6000.0,8.0,0.0,0.0,6.506556563694278e-13,4.377132501504662e-13,11.530541210115832
1.0,0,6000.0,9.0,0.0,0.0,7.745224174332484e-13,4.90157467043683e-13,11.530541210115832
1.0,0,6000.0,10.0,0.0,0.0,2.80645307972838e-13,2.3213671840133225e-13,11.530541210115832
1.0,0,6000.0,11.0,0.0,0.0,6.457120502820336e-14,6.456298504172999e-14,11.530541210115832
1.0,0,6000.0,12.0,0.0,0.0,8.426502861416808e-14,8.425435577813257e-14,11.530541210115832
1.0,0,6000.0,13.0,0.0,0.0,3.0757263217647917e-14,3.0753527569301185e-14,11.530541210115832
1.0,0,6000.0,15.0,0.0,0.0,0.0,0.0,11.530541210115832
1.0,0,10000.0,0.0,4.4400433543228364e-13,2.9447299808676943e-13,2.3794229155218756e-09,4.145870242963763e-11,14.885864693178979
1.0,0,10000.0,1.0,5.745926660697032e-13,3.2611313472691956e-13,4.14388780281057e-09,4.07328816873267e-11,14.885864693178979
